title,short_description,price
Cellularline ACHARQ9 mobile device charger Indoor Black,ACHARQ9 Travel charger with automatic rewindable cable,
Lenovo 01AW025 notebook spare part Keyboard,Notebook Keyboard,
Sony SVM-F120P photo paper,Photo paper (120 sheets),8445.0
"Acer Aspire 9114WLMi 39.1 cm (15.4"") 1280 x 800 pixels Intel® Core™ Duo 2 GB DDR2-SDRAM 120 GB NVIDIA® GeForce® Go 7600 Windows XP Home Edition","genuine Windows® XP Home Edition , Intel® Core™ Duo T2500 processor (2.0GHz, 2 MB L2 cache, 667 MHz FSB), 15.4”WXGA Acer CrystalBrite™ TFT LCD Display, NVIDIA® GeForce® Go 7600 with 256 MB of TurboCache™, 2048MB (2*1024) of DDR2 533 MHz memory, 120GB 5,400rpm SATA hard disk drive, 8X slot-load DVD-Super Multi double-layer, Bluetooth® 2.0+EDR, 802.11ABG WLAN, Gigabit Ethernet, Acer OrbiCam™ 1.3MP Camera, Bluetooth® VoIP phone, Hybrid TV-tuner + remote control, 5-in-1 card reader, 8-cell Li-ion battery, Microsoft Works",
Philips SoundBar and TV tabletop stand STS8006/00,STS8006 - SoundBar and TV tabletop stand,
Matrox EPI-TC4P128LPAF graphics card GDDR,"Expressly designed for thin computing and other mission-critical systems, Epica series graphics cards have innovative, new, server-based software from Matrox to manage multi-display configurations in remote sessions. The Matrox Epica TC4 graphics card supports up to four digital or analog monitors at a time.",
"Acer Aspire 5104 WLMi 39.1 cm (15.4"") 1280 x 800 pixels 1 GB DDR2-SDRAM 160 GB AMD Mobility Radeon X1300 Windows Vista Home Premium","Legitieme Windows Vista™ Home Premium, AMD Mobile Turion™ 64 X2 Dual-Core processor TL56 (1.8GHz), Works 8.5 + Office Home & Student 2007 Trial (60 days), 15.4TFT WXGA CrystalBrite 16ms, 1024MB DDR II RAM (1x 1024), 160GB HDD (5400rpm), Super Multi DVD-RW Double Layer, 6-cell LiIon, 56K modem, Wired & Wireless Lan 802.11b/g, ATI Mobility™ Radeon® X1300 128MB/384MB HM, no IEEE-1394, no S-video, no FIR, 5-in-1 card reader, 0.3MP Orbicam",
Adesso 19 Key USB Numeric Keypad and Optical Mouse keyboard Black,Adesso 19 Key USB Numeric Keypad and Optical Mouse,
"Lenovo IBM THINKPAD T43 P M-1.86 (750)CENT. 512/40G/14/DVD CDRW COMBO/WXP US 35.8 cm (14.1"") 1024 x 768 pixels 0.5 GB DDR2-SDRAM 40 GB Intel® GMA 900",IBM THINKPAD T43 P M-1.86 (750)CENT. 512/40G/14/DVD CDRW COMBO/WXP US,
HP 3-pack Staple Cartridge Refill 3 staples,HP 3-pack Staple Cartridge Refill,3495.0
Kingston Technology DataTraveler Vault Privacy 2GB USB flash drive USB Type-A 2.0 Blue,DataTraveler Secure,
TomTom ONE XL T UK & Ireland navigator LCD 208 g,TomTom ONE XL T UK & Ireland,
Epson EcoTank M1100 inkjet printer 1440 x 720 DPI A4,"EcoTank M1100 - A4, 1440 x 720 DPI, 64 g/m² - 90 g/m², 13 W, USB, White",
"Samsung Galaxy Z Flip SM-F700F 17 cm (6.7"") 8 GB 256 GB 4G USB Type-C Purple Android 10.0 3300 mAh","6.7"" 2636x1080 Dynamic AMOLED, 1.1"" Super AMOLED, Qualcomm Snapdragon 855+, 8GB RAM, 256GB ROM, LTE, 12MP+12MP/10MP, 3300mAh, Android 10",
Lenovo ThinkStation P330 Intel Xeon E E-2244G 8 GB DDR4-SDRAM 1000 GB HDD Tower Black Workstation Windows 10 Pro for Workstations,"Intel Xeon E-2244G (8MB Cache, 3.8GHz), 8GB DDR4-SDRAM, 1000GB HDD, DVD±RW, Intel UHD Graphics P630, LAN, Windows 10 Pro for Workstations 64-bit",
Newstar NS431D KVM switch Black,"KVM switch, 4-port, PS/2, OSD",
"Fujitsu MHT2080AT internal hard drive 2.5"" 80 GB Ultra-ATA/100",MHT2080AT Fujitsu 80GB,
Fujitsu Service Pack 3 -> 4 Years,,
D-Link DWA-125 networking card 125 Mbit/s,Wireless 150 USB Adapter,
"Huawei WATCH GT2e smartwatch AMOLED 3.53 cm (1.39"") Green GPS (satellite)","1.39"" AMOLED, 454x454, Bluetooth 5.1, 4 GB ROM, GPS, Green",
ESET 2001T61Y-R software license/upgrade 250-499 license(s) Renewal,"ESET Endpoint Protection Advanced, 1Y",
Kensington MicroSaver® Duo Ultra Laptop Lock - Single Keyed,Total control with one key,
Zyxel LMR-400 Antenna cable 9 m coaxial cable Black,LMR-400 Antenna cable 9 m,13594.0
DELL 3Y ProSpt - 5Y ProSpt PL,3Y ProSpt to 5Y ProSpt PL,
"ASUS Eee PC 1201HA-SIV013M Netbook Silver 30.7 cm (12.1"") 1366 x 768 pixels Intel Atom® 2 GB DDR2-SDRAM Windows 7 Home Premium","Eee PC 1201HA-SIV013M (Seashell) - Glare 12.1"" WXGA (1366 x 768), ATOM Menlow Z520, WiFi 802.11n, 2G DDR2, 250GB HDD, 0.3 MP webcam, 7.5hrs (6 cells 4400mAh), Windows 7 Home Premium, Silver",
"Fujitsu Service Pack On-Site Service, 5 Jahre, 24h, 9x5xNBD f Futro A",,
Canon BP-808 Lithium-Ion (Li-Ion) 890 mAh,Battery Pack BP-808,3095.0
"Supermicro SuperChassis 503-200B, Black Low Profile (Slimline) 200 W","SuperChassis 503-200B, Black",
HERMA 1190 stationery tape,Fastenings sticking side ø 19mm 1120 pcs.,
C2G Cat5E Shielded High-density Patch Panel 24-Port,Cat5E Shielded High-density Patch Panel 24-Port,
"Lenovo ThinkPad R60 38.1 cm (15"") 1400 x 1050 pixels Intel® Core™ Duo 0.5 GB DDR2-SDRAM 80 GB AMD Mobility Radeon X1400 Windows XP Professional","ThinkPad R60, T2400(1.83GHz), 512MB RAM, 80GB 5400rpm HD, 15in 1400x1050 LCD, 128MB ATI Radeon X1400, CDRW/DVDRW, Intel 802.11abg wireless, Bluetooth/Modem, 1Gb Ethernet, UltraNav, Fingerprint reader, IEEE 1394, 6c Li-Ion batt, WinXP Pro",
Lenovo ThinkStation P520 Intel Xeon W W-2125 32 GB DDR4-SDRAM 1000 GB SSD Tower Black Workstation Windows 10 Pro for Workstations,"Intel Xeon W-2125, 32GB (DDR4), 1TB (SSD), Windows 10 Pro for Workstations (64 bit), DVD±RW, 690W",
CHERRY eVolution STREAM Corded MultiMedia keyboard USB + PS/2 Black,eVolution STREAM Corded MultiMedia Keyboard,
"HP 470 G7 Notebook Silver 43.9 cm (17.3"") 1920 x 1080 pixels 10th gen Intel® Core™ i5 16 GB DDR4-SDRAM 512 GB SSD AMD Radeon 530 Windows 10 Home","Intel Core i5-10210U (6MB Cache, 1.6GHz), 16GB DDR4-SDRAM, 512GB SSD, 43.9 cm (17.3"") Full HD 1920 x 1080, Intel UHD Graphics, AMD Radeon 530 (2GB), LAN, Webcam, Windows 10 Home 64-bit",
"Acer TravelMate 8371-353G32N 33.8 cm (13.3"") 1366 x 768 pixels Intel® Core™ 2 Solo 3 GB DDR3-SDRAM 320 GB Intel® GMA 4500MHD Windows Vista Business","Intel® ULV Core™2 processor Solo SU3500 (1.4GHz/FSB: 800MHz/3MB L2 cache, 5,5W), Microsoft® Windows® 32-bit Vista™ Business (XP Professional recovery in box), Microsoft® Office™ Ready 2007 (trial-version), 13,3"" High Definition WXGA LED-backlit 16:9 aspect ratio high-brightness (200-nit), 3GB DDR 3 RAM (1x 2GB + 1x 1GB), 320GB HDD, 6-cell Li-ion 2.8 (max 9-hour battery life with Acer PowerSmart enabled), WiFi a/b/g/n, Bluetooth®, Intel® Graphics Media Accelerator 4500M, 1.0MP CrystalEye, 5-in-1 card reader, Fingerprint, Ultra thin design",
V7 V715XG toner cartridge Black,V715XG - Black,
HP 5y SupportPlus24 MSA30/20 SVC,HP 5y SupportPlus24 MSA30/20 SVC,
"Samsung P P560 Notebook Black 39.1 cm (15.4"") 1680 x 1050 pixels Intel® Core™2 Duo 4 GB DDR3-SDRAM 320 GB NVIDIA® GeForce® 9600M GS Windows 7 Professional",,
Allied Telesis AT-FS708 Unmanaged Gray,"AT-FS708 - 10/100TX x 8 ports unmanaged Eco-friendly Fast Ethernet switch, 1K MAC addresses, RJ-45",
"Fujitsu LIFEBOOK A357 Notebook Black 39.6 cm (15.6"") 1920 x 1080 pixels 6th gen Intel® Core™ i3 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Pro","Intel Core i3-6006U (3MB Cache, 2GHz), 8GB DDR4-SDRAM, 256GB SSD, 39.6 cm (15.6"") 1920 x 1080, Intel HD Graphics 520, LAN, WLAN, Webcam, Windows 10 Pro 64-bit",
C2G 4ft Universal 16 AWG Power Cord (IEC320C13 -> NEMA 5-15P) Black 1.2 m,4ft Universal 16 AWG Power Cord (IEC320C13 -> NEMA 5-15P),795.0
"Toshiba 19DV665DG TV 48.3 cm (19"") HD Black",,
HP 5y Nbd + DMR Color LaserJet 5550 Supp,HP 5 year Next business day Onsite + Defective Media Retention Color LaserJet 5550 Support,
"Lenovo ThinkPad T42 35.8 cm (14.1"") 1024 x 768 pixels 0.25 GB DDR-SDRAM 30 GB AMD Mobility Radeon 7500 Windows XP Professional","ThinkPad T42, P M 1.5GHz, 256MB RAM, 30GB 4200rpm HDD, 14.1 XGA(1024x768) TFT LCD, 32MB ATI Radeon 7500, 24x24x24x/8x CD-RW/DVD, Intel 802.11b/g wireless(MPCI), Modem(CDC), 1Gb Ethernet(LOM), UltraNav, Secure Chip, 6 cell Li-Ion battery, WinXP Pro",
C2G Internal Power Quad Splitter Cable pwr_4pin_M pwr_4pin_F Black,Internal Power Quad Splitter Cable,1595.0
Alienware AA451815 backpack Black/gray,,14094.0
Allied Telesis AT-2972SX 1000 Mbit/s,1x 1000SX (LC) server Network Interface Card (PCIe),
"Philips 231E1SB/27 computer monitor 58.4 cm (23"") 1920 x 1080 pixels Full HD LCD Black","23"",TFT-LCD (1920x1080), 300 cd/m², 5 ms, VGA, DVI-D, 100-240V, MTBF 50000h",
"Toshiba Battery Pack (Li-Ion, 6 cell, 4000mAh)","Battery Pack (Li-Ion, 6 cell, 4000mAh)",
"MSI Megabook S271-044NL, Orange 30.7 cm (12.1"") 1280 x 800 pixels 1 GB DDR2-SDRAM 80 GB UMA Windows XP Home Edition","MegaBook S271-044NL, Orange",
Xerox 498K17620 printer kit,498K17620 - Network Scanning & Server Fax & Internet Fax Kit,4095.0
Gigabyte GA-K8NE motherboard Socket 754 ATX,K8NE S754 nForce4-4X ATX DDR400,
Epson FX-2190 Impact Printer dot matrix printer 680 cps,FX-2190 Impact Printer / 9-pin / 680 cps (12 cpi) / Bidirectional Parallel (IEEE 1284 Nibble Mode supported) / USB 1.1 / 55 dBA,
"Fujitsu KBPC ID """"GB"""" keyboard USB QWERTY English Gray","KEYBOARD KBPC ID """"GB"""" KEYBOARD KBPC ID """"GB""""",
C2G 3m SC/ST Plenum-Rated Duplex 50/125 Multimode Fiber Patch fibre optic cable Blue,3m SC/ST Plenum-Rated Duplex 50/125 Multimode Fiber Patch Cable - Blue,
Vertiv Avocent AMIQDM-PS2 Modules KVM cable Black,Avocent AMIQDM-PS2 Modules,
"Fujitsu Service Pack, 5Y, on-site, NBD, 5x9","Service Pack, 5Y, on-site, NBD, 5x9",
Philips Stereo adapter SWA4550S/10,Experience quality sound. With this stereo adapter. 6.35 mm(M) - 3.5 mm(F),
StarTech.com 10 Ft IEEE-1394 Firewire Cable 4-4 M/M Black 3 m,10 Ft IEEE-1394 Firewire Cable 4-4 M/M,1395.0
Fujitsu AC Adapter 20V power adapter/inverter,,
Lenovo ThinkStation P330 Intel Xeon E E-2278G 16 GB DDR4-SDRAM 512 GB SSD Tower Black Workstation Windows 10 Pro for Workstations,"Intel Xeon E-2278G 3.4GHz, 1x 16GB UDIMM DDR4-2666 ECC, 1x 512GB SSD M.2 PCIe NVMe Opal, Intel UHD Graphics P630, Intel C246, 1x 9.0mm DVD±RW, 1x GbE RJ-45, USB Traditional Keyboard, Nordic (DK/FI/SV/NO/EN), USB Calliope Mouse, 400W Platinum Fixed, Windows 10 Pro 64 for Workstations, Nordic (EN/FI/SV/DK/NO)",
"Fujitsu LIFEBOOK C1110 Cent1700 512MB 60GB WXP 38.4 cm (15.1"") 1024 x 768 pixels 0.5 GB","LB C1110 15"" XGA; B/G CENTRINO /P-M 1.7/ DDR266 512MB/DVD+-RW DL/60GB HDD/MODEM2/ SYSTEM KIT EU1/KBD USA/INT/XPP MUI/",
Epson AL-C900/1900 Developer Cartridge Yellow 4.5k,Developer Toner Cartridge Yellow for AcuLaser C900 C1900,
Vogel's PFA 9027 Accessory shelve for PFF 1500,PFA 9027 Accessory shelve for PFF 1500,
Canon LEGRIA FS20 1.07 MP Silver,"LEGRIA FS20 8Gb, 1/6"" CCD, DIGIC DV II, 1.5 lux, 1152 x 864 pixel",
APC NetShelter SX 48U 750mm Wide Perforated Split Doors Black,NetShelter SX 48U 750mm Wide Perforated Split Doors Black,46395.0
APC 1 Year Extended Warranty,1 Year Extended Warranty for Smartcell W,
Sharp SF981CT toner cartridge Original Black 1 pc(s),Copier Toner SF/9500/9510/9550/9560/9700/9450/9800 Black,
"Da-Lite Cinema Contour projection screen 2.44 m (96"")","Cinema Contour - Cinemascope format, diagonal 96"", surface Da-Mat",
"Sony KDL-32V5800 81.3 cm (32"") Full HD Black",,
Newstar flat screen wall mount,"Newstar TV/Monitor Wall Mount (1 pivot & tiltable) for 10""-40"" Screen - Silver",6495.0
Canon SELPHY CP740 photo printer Inkjet 300 x 300 DPI Wi-Fi,,
Philips LightLife Flashlight SFL5000/10,"Torch, Self-powered, LED, 3.8 V",
"ASUS M509DA-EJ025T Notebook Silver 39.6 cm (15.6"") 1920 x 1080 pixels AMD Ryzen 5 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home","AMD Ryzen 5 3500U (4MB Cache, 2.1GHz), 8GB DDR4-SDRAM, 512GB SSD, 39.6 cm (15.6"") Full HD 1920 x 1080, AMD Radeon Vega 8, WLAN, Bluetooth, Webcam, Windows 10 Home",
Logitech V220 Optical mouse RF Wireless 1000 DPI,"V220 Cordless Optical Mouse, Mini-Reciever",
Epson EB-450Wi [240v] Enhanced Warranty,"EB-450Wi, 3LCD, WXGA, 2500lm",
APC Modular IT Power Distribution Cable 6 m,Modular IT Power Distribution Cable Extender 3 Wire 16A IEC309 600cm,22395.0
Kingston Technology System Specific Memory KTA-MB1333/4G memory module 4 GB DDR3 1333 MHz,System Specific,
HP iPAQ h1900 Nylon Slimline Case notebook case,,
Sony Extention Cable for Flash camera cable 1.5 m Black,Extention Cable for Flash,
"Acer 1GB ECC DDR-2, 667 MHz, unbuffered (G330) memory module DDR2","1GB ECC DDR-2, 667 MHz, unbuffered (G330)",
C2G 30m LC/SC LSZH Duplex 50/125 Multimode Fiber Patch Cable fibre optic cable Orange,30m LC/SC LSZH Duplex 50/125 Multimode Fiber Patch Cable,
Lenovo ThinkCentre M720s + Pro Wired Stereo VOIP Headset 9th gen Intel® Core™ i5 i5-9400 8 GB DDR4-SDRAM 512 GB SSD SFF Black PC Windows 10 Pro,"Intel Core i5-9400 (9MB Cache, 2.9GHz), 8GB DDR4-SDRAM, 512GB SSD, DVD±RW, Intel UHD Graphics 630, LAN, WLAN, Bluetooth, Windows 10 Pro 64-bit + Pro Wired Stereo VOIP Headset",
HP 1y/1.2M 4h9x5 LJ9085MFP Supplies& SVC,New  1y/1.2M 4h9x5 LJ9085MFP Supplies SVC,
Epson EPL-N2550D2T,EPL-N2550DTT A3 monochrome laser printer. Standard model with duplex unit and two additional 550 sheet paper cassette,
APC WADVPLUS-SL-10 warranty/support extension,,
2-Power 2P-92P1134 notebook spare part Battery,Main Battery Pack 10.8V 6900mAh,
Newstar flat screen desk mount,"Newstar Tilt/Turn/Rotate Desk Mount (clamp) for 10-30"" Monitor Screen, Height Adjustable - Silver",16695.0
ASUS M4A785-M Socket AM2+ Micro ATX AMD 785G,"M4A785-M - Socket AM2+/AM2, 785G + SB710, DDR2, SATA, RAID, Radeon HD 4200, Audio, uATX",
Fujitsu Bluetooth Headset for Pocket LOOX 7xx,Bluetooth Headset for Pocket LOOX 7xx,
ASUS A8N32-SLI Deluxe Socket 939 ATX,A8N32-SLI Deluxe,
APC Year Advantage Plus Service Plan for Galaxy 3500 or SUVT 40 kVA UPS,Year Advantage Plus Service Plan for Galaxy 3500 or SUVT 40 kVA UPS,
"Targus Notepac plus nylon black notebook case 39.1 cm (15.4"")",Model # CNP1 Notepac Plus,
LevelOne 16-Slot Managed Converter Chassis with Redundant Power Supply network equipment chassis,16-Slot Managed Converter Chassis with Redundant Power Supply,
Xerox Black Toner for WorkCentre Pro 610 Original,Black Toner for WorkCentre Pro 610,
Xerox 2 years - On-site - Phaser™ 7760,2 Addl Yr Svc; Extended On-Site Service For Total Of 3 Yrs When Combined With Any 1 Yr Warranty During 1st 90 Days Of Product Ownership. Electronic Service Agreement.,
Acer Aspire E500 IntelD830 1024MB 2x250GB AZB Intel® Pentium® D 830 1 GB DDR2-SDRAM 500 GB Mini tower PC Windows XP Home Edition,,
"Fujitsu Service Pack, 4Y, on-site, NBD, 5x13","Service Pack, 4Y, on-site, NBD, 5x13",
Xerox LASER PHASER 7750B Colour 1200 x 600 DPI A3,,
"Lenovo ThinkPad T60p 38.1 cm (15"") 1600 x 1200 pixels Intel® Core™ Duo 1 GB DDR2-SDRAM 100 GB AMD Mobility FireGL V5200 Windows XP Professional","ThinkPad T60p, T2500(2GHz), 1GB RAM, 100GB 7200rpm HD, 15in 1600x1200 LCD, 256MB ATI FireGL V5200, CDRW/DVDRW, Intel 802.11abg wireless, Bluetooth/Modem, 1Gb Ethernet, Secure chip, UltraNav, Fingerprint reader, 6c Li-Ion batt, WinXP Pro",
Xerox Phaser 6360N Colour 2400 x 600 DPI A4,"Phaser 6360N, Colour Laser, 2400 x 600 dpi, 40 ppm, 256 MB, Ethernet, USB 2.0, 35.2 kg",
"ASUS VivoBook Flip TP401MA-BZ215T Hybrid (2-in-1) Gray 35.6 cm (14"") 1366 x 768 pixels Touchscreen Intel® Celeron® N 4 GB LPDDR4-SDRAM 128 GB eMMC Wi-Fi 5 (802.11ac) Windows 10 Home","Intel Celeron N4020 (4MB Cache, 1.1GHz), 4GB LPDDR4-SDRAM, 128GB eMMC, 35.6 cm (14"") HD 1366 x 768 Touch, Intel UHD Graphics 600, WLAN, Webcam, Windows 10 Home",
Whirlpool AWG4106 washing machine Freestanding Front-load White 6 kg 1000 RPM A+,,
HP 3y Nbd Exch LaserJet 4240/4250 HW SVC,HP 3y Nbd Exch LaserJet 4240/4250 HW SVCLaserJet 4100 4200 4250,
Lexmark 36B0147 printer emulation upgrade,,
Philips PhotoFrame 7FF1CWO/05,"7""/17.8cm LCD, 720 x 480, 200 cd/m², 12 W",
"Lenovo IdeaCentre 510 9th gen Intel® Core™ i5 i5-9400F 8 GB DDR4-SDRAM 512 GB SSD Tower Black,Silver PC Windows 10 Home","Intel Core i5-9400F (9MB Cache, 2.9GHz), 8GB DDR4-SDRAM, 512GB SSD, AMD Radeon RX 550X (4GB), LAN, WLAN, Bluetooth, Windows 10 Home 64-bit",
HP C1821A printing paper A4 (210x297 mm) 100 sheets White,"HP Banner Paper 90 gsm, 100sheet, A4, 210 x 297 mm",894.0
ASUS CrossLink USB Black,CrossLink,
"Acer Extensa 5630-642G25MN 39.1 cm (15.4"") 1280 x 800 pixels Intel® Core™2 Duo 2 GB DDR2-SDRAM 250 GB Intel® GMA 4500MHD Windows Vista Home Premium","Extensa 5630-642G25Mn, Windows Vista""",
"Lenovo TS THINKPAD R50E CELM-1.4G 38.1 cm (15"") 1024 x 768 pixels Intel® Celeron® M 0.25 GB 30 GB",TS THINKPAD R50E CELM-1.4G 30GB 256MB 15TFT DVD CDRW WXPH   NL (CEL-MO),
C2G VGA270 HD15 M/F Monitor Cable VGA cable 15 m VGA (D-Sub) Black,"VGA270 HD15 M/F Monitor Cable, 15m",
Sony LMPC162 projector lamp 165 W UHP,Replacement lamp for VPL-CX20/CS20,
"Acer Aspire One D250-Bb - RET Netbook Blue 25.6 cm (10.1"") 1024 x 600 pixels Intel Pentium Mobile 1 GB DDR2-SDRAM Windows XP Home Edition","Windows XP Home Edition, Intel Atom N270 (1.6 GHz, 533 MHz FSB, 512 KB L2 cache), 10.1"" WSVGA CrystalBrite LED, 1GB DDR2 RAM (1x 1GB), 160GB HDD, 3-cell Li-ion (2200mAh), 10/100Mbit LAN & Wireless LAN 802.11b/g, 5-in-1 card reader, CrystalEye, Sapphire Blue",
"Canon PowerShot A570 IS Compact camera 7.1 MP CCD 3072 x 2304 pixels 1/2.5"" Silver",PowerShot A570 IS,
Varta CR-V3 Rechargeable battery Lithium-Ion (Li-Ion),,
"ASUS VivoBook Flip TP412FA-XB55T notebook Hybrid (2-in-1) Gray 35.6 cm (14"") 1920 x 1080 pixels Touchscreen 8th gen Intel® Core™ i5 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home","Intel Core i5-8265U (6MB Cache, 1.6GHz), 8GB DDR4-SDRAM, 512GB SSD, 35.6 cm (14"") Full HD 1920 x 1080 Touch, Intel UHD Graphics, WLAN, Webcam, Windows 10 Home",
"iiyama ProLite C1911S-B1 computer monitor 48.3 cm (19"") 1280 x 1024 pixels Black","19"" LCD, 1280x1024, 5 ms, 300cd/m2, 1000 : 1, 170°/160°, AV (BNC), Audio, S-Video",
"HP Next Business Day Onsite DesignJet w/o Printer Head HW Support, 3 year",,
Buffalo DriveStation 320GB Combo USB FireWire external hard drive Black,DriveStation 500GB Combo USB FireWire,
Logitech diNovo™ Media Desktop® Laser keyboard Bluetooth,diNovo™ Media Desktop® Laser,
Kensington MicroSaver® Twin Laptop Lock - Keyed Different,Kensington MicroSaver® Keyed Twin Laptop Lock,6195.0
"2-Power 14.8v, 8 cell, 77Wh Laptop Battery - replaces 70-NFU1B1100Z",Main Battery Pack 14.8v 5200mAh,
Epson A4 incl. 10X15 Premium Glossy . 20 sheets for f photo paper,A4 Photo Paper incl. 10X15 Premium Glossy Photo Paper. 20 sheets for free,
Origin Storage Laptop Internal French KBD for D505/ Insp 510m,Laptop Internal French KBD for D505/ Insp 510m,
Canon C-EXV29 Original Cyan 1 pc(s),"C5030 5035, C-EXV29 Toner, Cyan",12795.0
Panda Global Protection 2010 1 license(s) 3 year(s),"Global Protection 2010, 1 PC, 3 Year, OEM",
Xerox Maintenance Kit,"110 Volt Maintenance Kit, Docuprint N2125",
"Samsung Spinpoint S 250GB HDD 3.5"" Serial ATA II",250GB Serial ATA II HDD,
"Acer Aspire One 751h-w Netbook White 29.5 cm (11.6"") 1366 x 768 pixels Intel Atom® 1 GB DDR2-SDRAM Windows XP Home Edition",,
APC Cat6 Patch Cable 10ft Yellow networking cable 3.05 m,"Cat 6, up to 550Mhz Patch Cord Molded Snagless Yellow 568B, 4 Pair",
"ASUS ROG GA401IV-HA026T Notebook Gray 35.6 cm (14"") 2560 x 1440 pixels AMD Ryzen 7 16 GB DDR4-SDRAM 1000 GB SSD NVIDIA® GeForce RTX™ 2060 Wi-Fi 6 (802.11ax) Windows 10 Home","AMD Ryzen 7 4800H (4MB Cache, 2.9GHz), 16GB DDR4-SDRAM, 1000GB SSD, 35.6 cm (14"") WQHD 2560 x 1440 IPS, NVIDIA GeForce RTX 2060 (6GB GDDR6), WLAN, Windows 10 Home",
"Fujitsu 19IN CRT C996 95KHZ TCO99 monitor CRT 48.3 cm (19"") 1600 x 1200 pixels",19IN CRT C996 95KHZ TCO99 ONLY F  HEM-PC                   SW (PC),
Lexmark X364dn Laser 1200 x 1200 DPI 33 ppm A4,"X364dn Mono Laser, 1200x1200 dpi, USB 2.0, Ethernet 10/100-TX, RJ-45, 33 ppm, Duplex, 33600 bps, 128MB, 25 - 400%",
Xerox DocuColor 242/252 Yellow Toner Cartridges,"Xerox Yellow Toner, 6R1220",58195.0
"Philips Matchline 30PF9946/12 computer monitor 76.2 cm (30"") 1280 x 768 pixels",Philips TELEVISION 30INCH LCD 16:9 30PF9946 PC-IN 10 SMART TEXT     IT (NMS),
Samsung Headset EP-407 Black,,
"Kensington SP notebook case 39.1 cm (15.4"") Messenger case Black","SP - 15.4"" - Black",
Acer VERITON 7626-MT P4-2.6G Intel® Pentium® 4 0.25 GB 40 GB PC,VERITON 7626-MT P4-2.6G 40GB 256MB CD WXPP LAN           BE (P4),
"Lenovo ThinkPad Z60m 39.1 cm (15.4"") 1280 x 800 pixels 1 GB DDR2-SDRAM 100 GB AMD Mobility Radeon X600 Windows XP Professional","Thinkpad Z60m, Intel Pentium M 760(2.0GHz), 1GB RAM, 100GB 5400rpm HD, 15.4in 1280x800 LCD, Intel 900, CDRW/DVD, 128MB ATI Radeon X600, Bluetooth/Modem, 1Gb Ethernet, Secure chip, IEEE 1394, Fingerprint reader, 9c Li-Ion batt, Windows XP Pro",
"Fujitsu Service Pack, 4Y, on-site, 48h, 5x9","Service Pack, 4Y, on-site, 48h, 5x9",
"Samsung T260 Widescreen LCD monitor 64.8 cm (25.5"") 1920 x 1200 pixels Black","T260 Widescreen LCD monitor 26""",
"Seagate Cheetah 600GB 3.5"" Fibre Channel 3.5"" Fiber Channel","Cheetah 600GB 3.5"" Fibre Channel",
"Case Logic 15.4"" Professional Backpack notebook case 39.1 cm (15.4"") Backpack case Black","15.4"" Professional Backpack",
Philips BM05411,Table Stand for 42'' LCD Monitor,
Lexmark 100XL Original Cyan 1 pc(s),"100XL Cyan High Yield Return Program Ink Cartridge, 600",3395.0
C2G Cat6 Keystone Jack Ivory,Cat6 Keystone Jack Ivory,
"Lenovo ThinkPad T14s Notebook Black 35.6 cm (14"") 1920 x 1080 pixels 10th gen Intel® Core™ i7 16 GB DDR4-SDRAM 512 GB SSD Wi-Fi 6 (802.11ax) Windows 10 Pro","14"" FHD (1920x1080) IPS, Intel Core i7-10510U, 16GB Soldered DDR4-2666, 512GB SSD M.2, MicroSD, Intel UHD Graphics, 802.11ax, Bluetooth 5.0, WWAN, WebCam 720p + IR, Windows 10 Pro 64",
"ASUS F3F-AP133C 39.1 cm (15.4"") 1280 x 800 pixels Intel® Core™ Duo 1 GB DDR2-SDRAM 120 GB Intel® GMA 950 Windows Vista Home Premium",,
"NortonLifeLock Upg Norton AntiVirus Dual Protection for Mac, MAC/Win 11.0, DE, CD German","Upg Norton AntiVirus Dual Protection for Mac, MAC/Win 11.0, DE, CD",
HP 2540 Docking Station Black,HP 2540 Docking Station,6095.0
HP 4y 4h 24x7 W/DMR MSA1500 HW Supp,HP 4y 4h 24x7 W/DMR MSA1500 HW Supp - MSA1500 - 24x7 Hardware support with 4 hour Onsite Response and Defective Media Retention,
"Acer TravelMate 7730-652G25Mn 43.2 cm (17"") 1440 x 900 pixels Intel® Core™2 Duo 2 GB DDR2-SDRAM 250 GB Intel® GMA 4500M Windows Vista Business","Genuine Windows Vista® Business , 17"" WXGA+, Intel® Centrino®, Intel® Core™2 Duo T6570 2.1GHz-2MB-800MHz, Intel® GMA 4500M shared, 1x2GB DDR2, 250GB 5400rpm, DVD Super Multi, 802.11bgn, Bluetooth, 6 cell Li-Ion, Fingerprint, CrystalEye webcam, Cardreader, HDMI (HDCP), EasyPort IV connector, Windows® XP Professional CD kit, Office Ready",
Intel Core E8200 processor 2.66 GHz Box 6 MB L2,"Intel® Core™2 Duo Processor E8200 <br />(6M Cache, 2.66 GHz, 1333 MHz FSB)",1895.0
"Inventum GF555 Cool-Zone Fryer Single Black,Silver",,
Xerox COLORSTIX MAGENTA (2X) + 1 ZWART TBV PHASER 340 350 360 ink stick,"Genuine Xerox 2 Magenta, 1 Free Black ColorStix, Phaser 340/350/360",
